name,artists,id,popularity
Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",2r6OAV3WsYtXuXjvJ1lIDi,87
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",7kDUspsoYfLkWnZR7qwHZl,87
pov,['Ariana Grande'],3UoULw70kMsiVXxW0L3A33,87
Daisy,['Ashnikko'],0AUvWawuP0ibk4SQ3sIZjk,87
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",6EDO9iiTtwNv6waLwa1UUq,87
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",5rZlwNFl01HqLWBQGryKSm,87
Wonder,['Shawn Mendes'],5KCbr5ndeby4y4ggthdiAb,87
Hawái - Remix,"['Maluma', 'The Weeknd']",0GzuHFG4Ql6DoyxFRnIk3F,87
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",4HBZA5flZLE435QTztThqH,87
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",1zLBsSVxETQOfINOLYvT5m,87
Dynamite,['BTS'],0t1kP63rueHleOhQkYSXFY,87
All We Got (feat. KIDDO),"['Robin Schulz', 'KIDDO']",1FP9s72rDYty6mfoOEYKnE,87
Hawái,['Maluma'],1yoMvmasuxZfqHEipJhRbp,87
Polvo,"['Nicky Jam', 'Myke Towers']",68mrW6gXHgupgSiDHgaDi5,87
Dreams - 2004 Remaster,['Fleetwood Mac'],0ofHAoxe9vBkTCp2UQIavz,86
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],086myS9r57YsLbJpU0TgK9,86
Say You Won't Let Go,['James Arthur'],5uCax9HTNlzGybIStD3vDh,86
Perfect,['Ed Sheeran'],0tgVpDi06FyKpA1z0VMD4v,86
SAD!,['XXXTENTACION'],3ee8Jmje8o58CHK66QrVC2,86
SICKO MODE,['Travis Scott'],2xLMifQCjDGFmkHkpNLD9h,86
Star Shopping,['Lil Peep'],30bqVoKjX479ab90a8Pafp,86
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",2kJwzbxV2ppxnQoYw4GLBZ,86
ROXANNE,['Arizona Zervas'],696DnlkuDOXcMAnKlTgXXK,86
everything i wanted,['Billie Eilish'],3ZCTVFBt2Brf31RLEnCkWJ,86
Say So,['Doja Cat'],3Dv1eDb0MEgF93GpLXlucZ,86
7 rings,['Ariana Grande'],6ocbgoVGwYJhOv1GgI9NsF,86
ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",62aP9fBQKYKxi7PDXwcUAS,86
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",2Y0wPrPQBrGhoLn14xRYCG,86
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",7FIWs0pqAYbP91WWM0vlTQ,86
Ride It,['Regard'],2tnVG71enUj33Ic2nFN6kZ,86
Deep End,['Fousheé'],6HlE9t71z9DjGi7KqSyEpA,86
At My Worst,['Pink Sweat$'],0ri0Han4IRJhzvERHOZTMr,86
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",4Lt6GXGzYsa1tgkv3nGSTm,86
Mi Cuarto,['Jerry Di'],6fmQjRuo7XvRFCK2qex5hQ,86
Jingle Bell Rock,['Bobby Helms'],7vQbuQcyTflfCIOu3Uzzya,85
It's the Most Wonderful Time of the Year,['Andy Williams'],5hslUAKq9I9CG2bAulFkHN,85
Yellow,['Coldplay'],3AJwUDP919kvQ9QcozQPxg,85
Hayloft,['Mother Mother'],2kS6td1yvmpNgZTt1q5pQq,85
It's Beginning to Look a Lot like Christmas,['Michael Bublé'],5a1iz510sv2W9Dt1MvFd5R,85
Do I Wanna Know?,['Arctic Monkeys'],5FVd6KXrgO9B3JPmC8OPst,85
All of Me,['John Legend'],3U4isOIWM3VvDubwSI3y7a,85
Electric Love,['BØRNS'],2GiJYvgVaD2HtM8GqD9EgQ,85
The Less I Know The Better,['Tame Impala'],6K4t31amVTZDgR3sKmwUJJ,85
Everybody Dies In Their Nightmares,['XXXTENTACION'],3GVkPk8mqxz0itaAriG1L7,85
Shape of You,['Ed Sheeran'],7qiZfU4dY1lWllzX7mPBI3,85
Moonlight,['XXXTENTACION'],0JP9xo3adEtGSdUEISiszL,85
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",0e7ipj03S05BNilyu5bRzt,85
Falling,['Trevor Daniel'],4TnjEaWOeW0eKTKIEvJyCa,85
Streets,['Doja Cat'],60ynsPSSKe6O3sfwRnIBRf,85
when the party's over,['Billie Eilish'],43zdsphuZLzwA9k4DJhU0I,85
Dior,['Pop Smoke'],79s5XnCN4TJKTVMSmOx8Ep,85
Before You Go,['Lewis Capaldi'],2gMXnyrvIjhVBUZwvLZDMP,85
Don't Start Now,['Dua Lipa'],6WrI0LAC5M1Rw2MnX2ZvEg,85
